,area,fat_per_capita_alcoholic_beverages,fat_per_capita_animal_fats,fat_per_capita_aquatic_products_other,fat_per_capita_cereals_excluding_beer,fat_per_capita_eggs,fat_per_capita_fish_seafood,fat_per_capita_fruits_excluding_wine,fat_per_capita_meat,fat_per_capita_milk_excluding_butter,fat_per_capita_miscellaneous,fat_per_capita_offals,fat_per_capita_oilcrops,fat_per_capita_pulses,fat_per_capita_spices,fat_per_capita_starchy_roots,fat_per_capita_stimulants,fat_per_capita_sugar_sweeteners,fat_per_capita_sugar_crops,fat_per_capita_treenuts,fat_per_capita_vegetable_oils,fat_per_capita_vegetables,calorie_per_capita_alcoholic_beverages,calorie_per_capita_animal_fats,calorie_per_capita_aquatic_products_other,calorie_per_capita_cereals_excluding_beer,calorie_per_capita_eggs,calorie_per_capita_fish_seafood,calorie_per_capita_fruits_excluding_wine,calorie_per_capita_meat,calorie_per_capita_milk_excluding_butter,calorie_per_capita_miscellaneous,calorie_per_capita_offals,calorie_per_capita_oilcrops,calorie_per_capita_pulses,calorie_per_capita_spices,calorie_per_capita_starchy_roots,calorie_per_capita_stimulants,calorie_per_capita_sugar_sweeteners,calorie_per_capita_sugar_crops,calorie_per_capita_treenuts,calorie_per_capita_vegetable_oils,calorie_per_capita_vegetables,protein_per_capita_alcoholic_beverages,protein_per_capita_animal_fats,protein_per_capita_aquatic_products_other,protein_per_capita_cereals_excluding_beer,protein_per_capita_eggs,protein_per_capita_fish_seafood,protein_per_capita_fruits_excluding_wine,protein_per_capita_meat,protein_per_capita_milk_excluding_butter,protein_per_capita_miscellaneous,protein_per_capita_offals,protein_per_capita_oilcrops,protein_per_capita_pulses,protein_per_capita_spices,protein_per_capita_starchy_roots,protein_per_capita_stimulants,protein_per_capita_sugar_sweeteners,protein_per_capita_sugar_crops,protein_per_capita_treenuts,protein_per_capita_vegetable_oils,protein_per_capita_vegetables,infection_level,undernourishment,median_age,aged_70_older,diabetes_prevalence,life_expectancy
0,Afghanistan,0.0,3.31,0.0,5.24,0.33,0.02,0.25,4.03,4.67,0.01,0.16,0.84,0.11,0.12,0.11,0.06,0.0,0.0,1.01,18.32,0.34,0.0,3.758342,0.0,201.913684,0.64799,0.129598,6.998291999999999,6.739096,11.923016,0.129598,0.518392,1.166382,2.332764,0.388794,5.572714,0.129598,19.4397,0.0,1.555176,20.994876,5.961507999999999,0.0,0.04,0.0,40.75,0.33,0.1,0.58,3.67,5.72,0.05,0.6,0.35,1.18,0.11,0.69,0.11,0.0,0.0,0.36,0.02,1.99,Low,29.8,18.6,1.337,9.59,64.83
1,Albania,0.0,6.66,0.0,6.09,4.18,0.45,1.63,17.15,36.68,0.09,0.59,5.09,0.24,0.03,0.12,1.68,0.0,0.0,3.0,26.91,1.76,6.998291999999999,7.775879999999999,0.0,137.503478,7.646281999999999,1.94397,38.23141,28.252364,76.722016,1.166382,2.073568,6.609497999999999,6.350301999999999,0.129598,11.275026,2.851156,28.381962,0.0,5.054322,30.844324,27.86357,0.4,0.13,0.0,32.62,4.68,2.56,3.41,14.87,34.41,0.32,2.26,0.69,3.11,0.03,2.14,0.73,0.02,0.0,0.91,0.02,9.27,High,3.9,38.0,8.643,10.08,78.57
2,Algeria,0.0,2.38,0.0,6.46,1.46,0.34,0.91,6.62,12.78,0.06,0.19,2.28,0.36,0.21,0.18,0.31,0.0,0.0,1.19,62.99,0.97,0.777588,2.721558,0.0,210.078358,2.721558,1.036784,27.474776,11.404623999999998,32.917891999999995,0.777588,0.64799,2.851156,7.646281999999999,0.777588,16.199749999999998,0.907186,38.101812,0.0,1.684774,72.18608599999999,20.865278,0.05,0.02,0.0,47.56,1.81,1.18,2.14,6.61,14.31,0.25,0.64,0.38,3.79,0.27,2.65,0.56,0.0,0.0,0.44,0.02,6.88,Low,2.5,29.1,3.857,6.73,76.88
3,Angola,0.0,1.05,0.0,5.34,0.02,0.83,0.33,10.13,0.61,0.03,0.15,3.3,0.33,0.01,0.98,0.06,0.0,0.0,0.03,32.7,0.1,9.07186,1.166382,0.0,99.79046,0.0,3.110352,13.089398,15.681358,1.555176,0.388794,0.64799,5.313517999999999,9.331056,0.0,93.31056,0.129598,17.625328,0.0,0.0,37.453822,1.814372,0.56,0.01,0.0,20.0,0.02,3.84,1.42,6.81,0.62,0.11,0.91,1.95,4.67,0.01,6.05,0.09,0.01,0.0,0.01,0.01,0.76,Low,20.8,16.8,1.362,3.94,61.15
4,Antigua and Barbuda,0.0,4.65,0.0,6.43,1.38,2.67,1.98,30.15,7.98,0.05,0.14,2.29,0.08,0.27,0.05,1.63,0.0,0.0,0.4,24.95,0.18,16.847739999999998,5.443116,0.0,107.955134,2.721558,11.275026,20.73568,51.580004,20.346886,0.64799,0.64799,3.369548,1.94397,0.64799,3.369548,2.332764,31.233118,0.0,0.64799,28.641158,3.499146,0.43,0.12,0.0,21.22,1.59,14.21,1.89,29.58,8.01,0.15,0.87,0.76,0.98,0.12,0.54,0.22,0.0,0.0,0.13,0.08,1.13,Low,9.666666666666666,32.1,4.631,13.17,77.02
5,Argentina,0.0,10.0,0.0,3.14,3.98,0.33,0.42,46.36,14.18,0.0,0.73,1.14,0.39,0.1,0.26,0.68,0.0,0.0,0.46,40.83,0.46,11.145428,11.66382,0.0,139.836242,7.775879999999999,1.4255779999999998,9.460654,79.83236799999999,30.325932,0.0,3.758342,1.684774,7.387085999999999,0.388794,11.793418,4.53593,57.541512,0.0,0.64799,46.784878,6.998291999999999,0.32,0.04,0.0,28.54,4.57,1.85,0.94,43.39,13.39,0.0,5.01,0.45,3.64,0.12,2.92,6.76,0.05,0.0,0.12,0.01,2.11,High,3.7,31.9,7.441,5.5,76.67
6,Armenia,0.0,13.86,0.0,6.18,3.29,0.42,1.1,23.44,19.21,0.1,0.56,1.03,0.14,0.06,0.17,3.11,0.0,0.0,1.59,24.08,1.18,2.851156,16.199749999999998,0.0,171.846948,6.091106,1.4255779999999998,20.606082,37.842616,41.730556,1.166382,2.462362,1.555176,3.23995,0.259196,14.774171999999998,5.18392,41.600958,0.0,2.203166,27.604374,18.014122,0.13,0.3,0.0,38.29,3.6,1.67,2.15,18.9,18.31,0.27,3.18,0.42,1.65,0.07,2.67,1.16,0.01,0.0,0.38,0.03,6.17,High,3.5,35.7,7.571,7.11,75.09
7,Australia,0.0,14.98,0.0,2.94,2.08,1.4,1.51,35.69,24.14,0.23,0.88,3.38,0.42,0.27,0.13,1.91,0.0,0.0,6.22,58.97,0.59,18.273318,17.236534,0.0,95.772922,3.88794,5.18392,13.218996,64.280608,49.89523,2.462362,3.628744,5.054322,9.460654,0.907186,10.756634,3.628744,54.56075799999999,0.0,9.07186,67.520558,8.812664,0.6,0.18,0.0,22.17,2.28,6.03,1.08,40.69,21.74,0.57,4.47,1.5,4.85,0.25,2.02,1.39,0.0,0.0,2.11,0.1,2.86,Low,2.5,37.9,10.129,5.07,83.44
8,Austria,0.0,43.97,0.0,4.2,3.79,1.35,0.91,24.18,18.03,0.0,0.41,4.63,0.09,0.36,0.14,0.66,0.0,0.0,4.11,76.22,0.68,26.56759,51.580004,0.0,111.843074,6.998291999999999,3.88794,16.199749999999998,42.637742,40.82337,0.0,1.555176,8.164674,1.94397,1.166382,13.478192,2.203166,46.784878,0.0,5.83191,87.349052,10.238242,1.41,0.78,0.0,26.55,4.35,3.97,1.38,25.89,25.68,0.02,1.86,4.38,0.97,0.32,2.16,1.49,0.02,0.0,1.13,0.16,3.56,High,2.5,44.4,13.748,6.35,81.54
9,Azerbaijan,0.0,13.8,0.0,6.34,2.6,0.16,0.84,15.29,15.07,0.06,0.41,0.55,0.02,0.04,0.22,2.09,0.0,0.0,2.71,25.53,0.92,21.642866,15.810956,0.0,219.150218,4.795126,0.518392,16.199749999999998,25.530806,33.825078,0.777588,1.814372,0.777588,0.518392,0.129598,19.569298,3.23995,30.844324,0.0,3.758342,29.289148,14.25578,0.71,0.14,0.0,50.4,2.84,0.57,1.33,13.77,16.09,0.2,2.3,0.26,0.29,0.04,3.6,0.66,0.01,0.0,0.66,0.04,4.36,High,2.5,32.4,3.871,7.11,73.0
